column,null_count,null_pct
diastolic,81004964,0.86827
systolic,81004964,0.86827
height,76206453,0.816836
weight,76159960,0.816338
bmi,76056070,0.815224
total_emergency_visits,66784987,0.71585
total_outpatient_visits,66784987,0.71585
total_inpatient_visits,66769999,0.71569
has_obesity,59481699,0.637568
has_diabetes,59481699,0.637568
has_hypertension,48785360,0.522917
has_dyslipidemia,47781563,0.512158
is_dead,43774802,0.46921
visit_pregnancy_clinic,43760981,0.469062
visit_smoking_clinic,43760981,0.469062
source_file,43760981,0.469062
region_en,14094861,0.151079
nationality_en,5428,5.8e-05
age,231,2e-06
gender,1,0.0
personalid,1,0.0
